1,0.4915
2,0.4847
4,0.4867
5,0.4881
7,0.4878
8,0.4852
10,0.4862
11,0.4884
12,0.4849
14,0.4842
15,0.4799
17,0.4824
18,0.4796
20,0.487
21,0.4845
22,0.4869
24,0.4862
25,0.4863
27,0.4871
28,0.488
30,0.4914
31,0.4885
32,0.488
34,0.4883
35,0.4895
37,0.4887
38,0.4893
40,0.4875
41,0.4871
42,0.4902
44,0.488
46,0.488
47,0.4891
48,0.4889
50,0.4882
51,0.4881
53,0.4878
54,0.4871
56,0.4877
57,0.4899
59,0.4894
60,0.4913
61,0.4891
63,0.4888
64,0.4889
66,0.4892
67,0.4893
69,0.4879
70,0.4888
71,0.4885
73,0.4888
74,0.4895
76,0.4906
77,0.4901
79,0.4897
80,0.4891
81,0.4897
83,0.4878
84,0.5141
86,9.5348
87,7.2261
89,10.0373
90,10.3804
92,9.1542
93,55.6794
95,0.4447
96,0.4454
97,0.4462
99,0.4458
100,0.446
102,0.4451
103,0.4449
105,0.4459
106,0.4451
108,0.446
109,0.4452
110,0.4459
112,0.4467
113,0.4459
115,0.4451
116,0.4438
118,0.4457
119,0.4461
121,0.447
122,0.4464
123,0.4432
125,0.4445
126,0.4446
