1,4.1,4.1,4.1,4.1,4.1,4.1 
2,2.9,2.9,2.8,2.8,2.8,2.9 
4,1.9,1.9,1.9,1.9,1.9,1.9 
5,6.6,6.6,6.6,6.6,6.6,6.6 
7,6.8,6.8,6.8,6.8,6.8,6.8 
8,15.7,15.8,15.7,15.8,15.8,15.8 
10,18.2,18.2,18.2,18.3,18.2,18.3 
11,18.0,17.9,18.0,18.0,18.0,18.0 
12,2.4,2.4,2.4,2.4,2.4,2.4 
14,12.7,12.7,12.7,12.7,12.7,12.7 
15,12.2,12.2,12.2,12.2,12.2,12.2 
17,5.1,5.1,5.1,5.1,5.1,5.1 
18,8.7,8.7,8.7,8.7,8.7,8.7 
20,7.3,7.3,7.3,7.3,7.3,7.3 
21,3.6,3.6,3.6,3.6,3.6,3.6 
22,2.1,2.1,2.1,2.1,2.1,2.1 
24,12.8,12.8,12.8,12.8,12.8,12.8 
25,5.1,5.1,5.1,5.1,5.1,5.1 
27,1.6,1.6,1.6,1.6,1.6,1.6 
28,1.1,1.1,1.1,1.1,1.1,1.1 
30,1.1,1.1,1.1,1.1,1.1,1.1 
31,1.1,1.1,1.1,1.1,1.1,1.1 
33,1.1,1.1,1.1,1.1,1.1,1.1 
34,1.1,1.1,1.1,1.1,1.1,1.1 
35,1.1,1.1,1.1,1.1,1.1,1.1 
37,1.1,1.1,1.1,1.1,1.1,1.1 
38,1.1,1.1,1.1,1.1,1.1,1.1 
