"x1(PinA0)_x","x1(PinA0)_y"
0,-10.01019551,
2e-05,-8.548474329,
4e-05,-5.259601681,
6e-05,0.5872830258,
8e-05,3.510725379,
0.0001,7.165028321,
0.00012,9.72304038,
0.00014,10.08847067,
0.00016,8.626749498,
0.00018,7.895888909,
0.0002,4.241585967,
0.00022,2.414434497,
0.00024,-1.970729033,
0.00026,-5.625031975,
0.00028,-8.548474329,
0.0003,-10.01019551,
0.00032,-12.56820756,
0.00034,-8.548474329,
0.00036,-5.990462269,
0.00038,-0.8744381509,
0.0004,2.779864791,
0.00042,6.799598027,
0.00044,8.261319203,
0.00046,10.08847067,
0.00048,11.55019185,
0.0005,9.72304038,
0.00052,6.068737438,
0.00054,3.510725379,
0.00056,-0.5090078568,
0.00058,-2.701589622,
0.0006,-7.086753152,
0.00062,-10.3756258,
0.00064,-12.20277727,
0.00066,-9.644765211,
0.00068,-7.81761374,
0.0007,-2.336159328,
0.00072,3.145295085,
0.00074,5.703307144,
0.00076,9.357610086,
0.00078,10.45390097,
0.0008,10.81933126,
0.00082,10.08847067,
0.00084,7.530458615,
0.00086,3.876155673,
0.00088,0.5872830258,
0.0009,-1.605298739,
0.00092,-5.625031975,
0.00094,-9.279334917,
0.00096,-12.93363786,
0.00098,-10.74105609,
0.001,-9.644765211,
0.00102,-4.163310798,
0.00104,0.2218527316,
0.00106,4.607016262,
0.00108,6.799598027,
0.0011,10.08847067,
0.00112,10.45390097,
0.00114,8.992179792,
0.00116,7.165028321,
0.00118,4.972446556,
0.0012,0.9527133199,
0.00122,-0.5090078568,
0.00124,-4.528741093,
0.00126,-8.548474329,
0.00128,-10.74105609,
0.0013,-11.10648639,
0.00132,-10.01019551,
0.00134,-4.894171387,
0.00136,-2.336159328,
0.00138,2.049004202,
0.0014,6.434167733,
0.00142,9.357610086,
0.00144,9.72304038,
0.00146,10.08847067,
0.00148,7.530458615,
0.0015,6.434167733,
0.00152,3.145295085,
0.00154,-0.5090078568,
0.00156,-2.336159328,
0.00158,-5.990462269,
0.0016,-10.3756258,
0.00162,-11.47191668,
0.00164,-11.10648639,
0.00166,-7.81761374,
0.00168,-2.701589622,
0.0017,0.5872830258,
0.00172,3.876155673,
0.00174,8.261319203,
0.00176,11.18476156,
0.00178,10.81933126,
0.0018,10.45390097,
0.00182,7.530458615,
0.00184,3.145295085,
0.00186,0.9527133199,
0.00188,-1.239868445,
0.0019,-6.355892563,
0.00192,-9.644765211,
0.00194,-10.74105609,
0.00196,-11.83734698,
0.00198,-8.913904623,
0.002,-4.163310798,
0.00202,0.2218527316,
0.00204,5.33787685,
0.00206,7.530458615,
0.00208,9.357610086,
0.0021,11.18476156,
0.00212,9.357610086,
0.00214,8.626749498,
0.00216,5.703307144,
0.00218,1.318143614,
0.0022,-1.605298739,
0.00222,-3.43245021,
0.00224,-7.452183446,
0.00226,-11.10648639,
0.00228,-12.20277727,
0.0023,-9.644765211,
0.00232,-7.452183446,
0.00234,-2.336159328,
0.00236,1.683573908,
0.00238,6.068737438,
0.0024,9.357610086,
0.00242,9.72304038,
0.00244,9.357610086,
0.00246,8.992179792,
0.00248,6.799598027,
0.0025,3.876155673,
0.00252,0.2218527316,
0.00254,-2.336159328,
0.00256,-7.086753152,
0.00258,-9.279334917,
0.0026,-12.20277727,
0.00262,-11.83734698,
0.00264,-7.086753152,
0.00266,-4.528741093,
0.00268,0.9527133199,
0.0027,5.703307144,
0.00272,8.261319203,
0.00274,9.72304038,
0.00276,10.08847067,
0.00278,10.08847067,
0.0028,6.799598027,
0.00282,5.703307144,
0.00284,0.9527133199,
0.00286,-2.336159328,
0.00288,-5.990462269,
0.0029,-8.548474329,
0.00292,-11.83734698,
0.00294,-12.20277727,
0.00296,-9.644765211,
0.00298,-5.259601681,
0.003,-0.5090078568,
0.00302,4.241585967,
0.00304,5.703307144,
0.00306,9.72304038,
0.00308,10.08847067,
0.0031,9.72304038,
0.00312,8.261319203,
0.00314,4.607016262,
0.00316,2.049004202,
0.00318,-0.1435775626,
0.0032,-4.528741093,
0.00322,-8.183044034,
0.00324,-10.74105609,
0.00326,-11.47191668,
0.00328,-10.74105609,
0.0033,-6.721322858,
0.00332,-1.239868445,
0.00334,1.683573908,
0.00336,4.972446556,
0.00338,8.261319203,
0.0034,9.72304038,
0.00342,10.08847067,
0.00344,8.992179792,
0.00346,5.703307144,
0.00348,3.876155673,
0.0035,1.683573908,
0.00352,-3.43245021,
0.00354,-6.355892563,
0.00356,-10.74105609,
0.00358,-11.83734698,
0.0036,-11.47191668,
0.00362,-8.183044034,
0.00364,-5.259601681,
0.00366,-0.8744381509,
0.00368,3.876155673,
0.0037,7.895888909,
0.00372,8.992179792,
0.00374,10.45390097,
0.00376,9.72304038,
0.00378,6.799598027,
0.0038,4.607016262,
0.00382,1.683573908,
0.00384,-1.970729033,
0.00386,-4.894171387,
0.00388,-9.279334917,
0.0039,-11.10648639,
0.00392,-12.93363786,
0.00394,-10.3756258,
0.00396,-6.355892563,
0.00398,-1.605298739,
0.004,2.049004202,
0.00402,6.434167733,
0.00404,9.357610086,
0.00406,9.357610086,
0.00408,10.08847067,
0.0041,8.261319203,
0.00412,5.33787685,
0.00414,3.510725379,
0.00416,-0.8744381509,
0.00418,-3.797880504,
0.0042,-6.721322858,
0.00422,-10.74105609,
0.00424,-12.20277727,
0.00426,-11.47191668,
0.00428,-7.81761374,
0.0043,-4.528741093,
0.00432,0.9527133199,
0.00434,5.703307144,
0.00436,7.165028321,
0.00438,8.992179792,
0.0044,11.18476156,
0.00442,8.626749498,
0.00444,6.434167733,
0.00446,4.972446556,
0.00448,0.5872830258,
0.0045,-2.336159328,
0.00452,-5.990462269,
0.00454,-11.47191668,
0.00456,-11.83734698,
0.00458,-10.74105609,
0.0046,-10.3756258,
0.00462,-5.259601681,
0.00464,-1.605298739,
0.00466,3.510725379,
0.00468,7.895888909,
0.0047,8.261319203,
0.00472,9.72304038,
0.00474,10.08847067,
0.00476,7.895888909,
0.00478,4.972446556,
0.0048,1.683573908,
0.00482,-1.605298739,
0.00484,-3.067019916,
0.00486,-7.452183446,
0.00488,-11.10648639,
0.0049,-12.20277727,
0.00492,-10.74105609,
0.00494,-7.452183446,
0.00496,-3.43245021,
0.00498,2.414434497,
0.005,6.799598027,
0.00502,7.530458615,
0.00504,10.08847067,
0.00506,11.18476156,
0.00508,7.530458615,
0.0051,5.703307144,
0.00512,2.779864791,
0.00514,-0.8744381509,
0.00516,-3.797880504,
0.00518,-5.990462269,
0.0052,-10.74105609,
0.00522,-11.47191668,
0.00524,-11.47191668,
0.00526,-7.81761374,
0.00528,-5.259601681,
0.0053,0.2218527316,
0.00532,4.607016262,
0.00534,7.530458615,
0.00536,8.626749498,
0.00538,9.72304038,
0.0054,8.992179792,
0.00542,8.992179792,
0.00544,3.145295085,
0.00546,0.2218527316,
0.00548,-3.43245021,
0.0055,-4.894171387,
0.00552,-9.644765211,
0.00554,-12.20277727,
0.00556,-12.20277727,
0.00558,-10.01019551,
0.0056,-6.355892563,
0.00562,-1.239868445,
0.00564,3.510725379,
0.00566,6.068737438,
0.00568,9.357610086,
0.0057,10.45390097,
0.00572,9.357610086,
0.00574,7.530458615,
0.00576,5.703307144,
0.00578,1.683573908,
0.0058,-1.239868445,
0.00582,-5.625031975,
0.00584,-8.183044034,
0.00586,-12.20277727,
0.00588,-11.83734698,
0.0059,-11.47191668,
0.00592,-7.452183446,
0.00594,-3.43245021,
0.00596,-0.1435775626,
0.00598,6.434167733,
0.006,7.530458615,
0.00602,9.357610086,
0.00604,10.08847067,
0.00606,9.357610086,
0.00608,5.703307144,
0.0061,2.779864791,
0.00612,-0.5090078568,
0.00614,-4.163310798,
0.00616,-5.990462269,
0.00618,-11.10648639,
0.0062,-11.83734698,
0.00622,-12.56820756,
0.00624,-9.279334917,
0.00626,-4.894171387,
0.00628,-0.1435775626,
0.0063,3.510725379,
0.00632,6.799598027,
0.00634,10.08847067,
0.00636,10.45390097,
0.00638,8.992179792,
0.0064,7.895888909,
0.00642,4.607016262,
0.00644,2.049004202,
0.00646,-1.970729033,
0.00648,-5.990462269,
0.0065,-8.183044034,
0.00652,-11.47191668,
0.00654,-12.20277727,
0.00656,-10.3756258,
0.00658,-6.355892563,
0.0066,-2.336159328,
0.00662,2.049004202,
0.00664,7.530458615,
0.00666,7.165028321,
0.00668,10.08847067,
0.0067,10.81933126,
0.00672,7.895888909,
0.00674,5.703307144,
0.00676,2.779864791,
0.00678,-1.605298739,
0.0068,-4.163310798,
0.00682,-7.086753152,
0.00684,-10.74105609,
0.00686,-12.56820756,
0.00688,-11.47191668,
0.0069,-8.548474329,
0.00692,-4.163310798,
0.00694,0.9527133199,
0.00696,4.972446556,
0.00698,7.165028321,
0.007,9.357610086,
0.00702,8.626749498,
0.00704,8.626749498,
0.00706,5.703307144,
0.00708,4.241585967,
0.0071,0.5872830258,
0.00712,-3.43245021,
0.00714,-6.355892563,
0.00716,-10.74105609,
0.00718,-12.56820756,
0.0072,-11.47191668,
0.00722,-9.644765211,
0.00724,-5.625031975,
0.00726,-0.5090078568,
0.00728,4.241585967,
0.0073,6.068737438,
0.00732,9.72304038,
0.00734,10.08847067,
0.00736,10.81933126,
0.00738,6.068737438,
0.0074,6.068737438,
0.00742,0.9527133199,
0.00744,-1.605298739,
0.00746,-4.528741093,
0.00748,-7.81761374,
0.0075,-10.3756258,
0.00752,-11.83734698,
0.00754,-11.10648639,
0.00756,-7.086753152,
0.00758,-2.336159328,
0.0076,1.683573908,
0.00762,6.434167733,
0.00764,8.626749498,
0.00766,10.08847067,
0.00768,10.08847067,
0.0077,7.530458615,
0.00772,5.703307144,
0.00774,4.241585967,
0.00776,0.2218527316,
0.00778,-4.163310798,
0.0078,-6.355892563,
0.00782,-10.01019551,
0.00784,-12.20277727,
0.00786,-11.10648639,
0.00788,-8.183044034,
0.0079,-3.797880504,
0.00792,1.318143614,
0.00794,4.241585967,
0.00796,7.165028321,
0.00798,9.357610086,
0.008,9.357610086,
0.00802,8.992179792,
0.00804,7.895888909,
0.00806,5.33787685,
0.00808,0.5872830258,
0.0081,-2.336159328,
0.00812,-5.625031975,
0.00814,-9.279334917,
0.00816,-11.47191668,
0.00818,-11.83734698,
0.0082,-9.279334917,
0.00822,-5.259601681,
0.00824,-0.8744381509,
0.00826,3.145295085,
0.00828,6.799598027,
0.0083,10.08847067,
0.00832,10.08847067,
0.00834,9.72304038,
0.00836,7.530458615,
0.00838,4.972446556,
0.0084,3.145295085,
0.00842,-1.239868445,
0.00844,-4.163310798,
0.00846,-8.183044034,
0.00848,-12.93363786,
0.0085,-12.93363786,
0.00852,-10.3756258,
0.00854,-7.086753152,
0.00856,-3.067019916,
0.00858,2.049004202,
0.0086,5.703307144,
0.00862,8.261319203,
0.00864,10.81933126,
0.00866,10.08847067,
0.00868,8.626749498,
0.0087,5.703307144,
0.00872,2.414434497,
0.00874,-0.1435775626,
0.00876,-2.701589622,
0.00878,-5.990462269,
0.0088,-10.3756258,
0.00882,-10.74105609,
0.00884,-12.93363786,
0.00886,-8.183044034,
0.00888,-3.797880504,
0.0089,0.5872830258,
0.00892,4.607016262,
0.00894,7.895888909,
0.00896,10.08847067,
0.00898,8.626749498,
0.009,10.81933126,
0.00902,7.165028321,
0.00904,6.068737438,
0.00906,1.318143614,
0.00908,-2.701589622,
0.0091,-5.259601681,
0.00912,-9.279334917,
0.00914,-11.10648639,
0.00916,-11.83734698,
0.00918,-8.913904623,
0.0092,-6.721322858,
0.00922,-1.970729033,
0.00924,3.510725379,
0.00926,5.703307144,
0.00928,9.72304038,
0.0093,9.72304038,
0.00932,10.81933126,
0.00934,8.261319203,
0.00936,5.703307144,
0.00938,2.049004202,
0.0094,0.5872830258,
0.00942,-3.43245021,
0.00944,-7.086753152,
0.00946,-10.74105609,
0.00948,-11.83734698,
0.0095,-11.83734698,
0.00952,-8.183044034,
0.00954,-2.701589622,
0.00956,1.683573908,
0.00958,5.703307144,
0.0096,8.992179792,
0.00962,7.895888909,
0.00964,11.18476156,
0.00966,8.992179792,
0.00968,7.165028321,
0.0097,3.876155673,
0.00972,1.318143614,
0.00974,-1.970729033,
0.00976,-5.259601681,
0.00978,-8.183044034,
0.0098,-11.83734698,
0.00982,-11.10648639,
0.00984,-9.279334917,
0.00986,-5.259601681,
0.00988,0.5872830258,
0.0099,4.607016262,
0.00992,7.165028321,
0.00994,9.357610086,
0.00996,10.81933126,
0.00998,10.81933126,
0.01,9.357610086,
0.01002,4.972446556,
0.01004,1.683573908,
0.01006,-1.239868445,
0.01008,-3.797880504,
0.0101,-8.183044034,
0.01012,-11.10648639,
0.01014,-11.47191668,
0.01016,-10.74105609,
0.01018,-5.990462269,
0.0102,-0.8744381509,
0.01022,3.145295085,
0.01024,6.434167733,
0.01026,8.992179792,
0.01028,11.18476156,
0.0103,10.81933126,
0.01032,8.992179792,
0.01034,6.434167733,
0.01036,4.241585967,
0.01038,-0.1435775626,
0.0104,-3.43245021,
0.01042,-5.990462269,
0.01044,-9.279334917,
0.01046,-10.74105609,
0.01048,-10.3756258,
0.0105,-8.913904623,
0.01052,-3.797880504,
0.01054,2.414434497,
0.01056,4.607016262,
0.01058,7.165028321,
0.0106,9.72304038,
