"x1(PinA0)_x","x1(PinA0)_y"
0,-1.308583958,
1e-05,-1.674014252,
2e-05,-0.5777233693,
3e-05,-1.308583958,
4e-05,0.1531372191,
5e-05,1.614858396,
6e-05,2.345718984,
7e-05,0.1531372191,
8e-05,1.614858396,
9e-05,2.711149278,
0.0001,0.8839978074,
0.00011,3.076579572,
0.00012,0.8839978074,
0.00013,1.249428102,
0.00014,1.249428102,
0.00015,1.249428102,
0.00016,2.345718984,
0.00017,0.8839978074,
0.00018,-0.5777233693,
0.00019,-0.5777233693,
0.0002,-0.5777233693,
0.00021,-2.039444546,
0.00022,-2.039444546,
0.00023,-0.9431536634,
0.00024,-2.039444546,
0.00025,-0.9431536634,
0.00026,-0.2122930751,
0.00027,-0.9431536634,
0.00028,0.5185675132,
0.00029,0.1531372191,
0.0003,0.8839978074,
0.00031,0.5185675132,
0.00032,0.5185675132,
0.00033,0.8839978074,
0.00034,0.5185675132,
0.00035,0.1531372191,
0.00036,-0.2122930751,
0.00037,-0.5777233693,
0.00038,1.249428102,
0.00039,0.1531372191,
0.0004,0.1531372191,
0.00041,0.8839978074,
0.00042,0.8839978074,
0.00043,0.8839978074,
0.00044,2.345718984,
0.00045,1.98028869,
0.00046,1.614858396,
0.00047,1.98028869,
0.00048,0.8839978074,
0.00049,0.8839978074,
0.0005,1.249428102,
0.00051,0.5185675132,
0.00052,-0.5777233693,
0.00053,-0.9431536634,
0.00054,0.5185675132,
0.00055,-0.2122930751,
0.00056,0.1531372191,
0.00057,-0.2122930751,
0.00058,0.1531372191,
0.00059,-0.2122930751,
0.0006,0.1531372191,
0.00061,-0.5777233693,
0.00062,-0.5777233693,
0.00063,-1.308583958,
0.00064,-0.2122930751,
0.00065,-0.5777233693,
0.00066,-2.039444546,
0.00067,0.5185675132,
0.00068,-2.770305134,
0.00069,0.8839978074,
0.0007,1.98028869,
0.00071,-2.40487484,
0.00072,-1.674014252,
0.00073,0.8839978074,
0.00074,0.5185675132,
0.00075,1.98028869,
0.00076,0.8839978074,
0.00077,4.538300749,
0.00078,-0.5777233693,
0.00079,-0.9431536634,
0.0008,-1.308583958,
0.00081,-0.2122930751,
0.00082,-2.039444546,
0.00083,-2.770305134,
0.00084,-2.039444546,
0.00085,1.614858396,
0.00086,-4.597456605,
0.00087,2.711149278,
0.00088,1.98028869,
0.00089,-3.866596017,
0.0009,-2.770305134,
0.00091,1.249428102,
0.00092,-1.308583958,
0.00093,1.614858396,
0.00094,-5.328317193,
0.00095,-0.9431536634,
0.00096,-0.5777233693,
0.00097,-2.40487484,
0.00098,-0.9431536634,
0.00099,-1.308583958,
0.001,-1.308583958,
0.00101,0.1531372191,
0.00102,1.98028869,
0.00103,0.5185675132,
0.00104,0.8839978074,
0.00105,2.711149278,
0.00106,2.711149278,
0.00107,2.345718984,
0.00108,1.614858396,
0.00109,1.98028869,
0.0011,0.8839978074,
0.00111,1.98028869,
0.00112,1.249428102,
0.00113,-0.2122930751,
0.00114,-0.5777233693,
0.00115,0.5185675132,
0.00116,-0.5777233693,
0.00117,0.1531372191,
0.00118,-0.2122930751,
0.00119,-1.308583958,
0.0012,-0.5777233693,
0.00121,-0.9431536634,
0.00122,-0.2122930751,
0.00123,0.5185675132,
0.00124,0.1531372191,
0.00125,0.5185675132,
0.00126,0.1531372191,
0.00127,1.249428102,
0.00128,0.5185675132,
0.00129,1.98028869,
0.0013,0.1531372191,
0.00131,0.1531372191,
0.00132,0.8839978074,
0.00133,1.249428102,
0.00134,1.249428102,
0.00135,0.8839978074,
0.00136,1.249428102,
0.00137,1.614858396,
0.00138,1.249428102,
0.00139,3.076579572,
0.0014,2.711149278,
0.00141,2.711149278,
0.00142,3.442009867,
0.00143,1.98028869,
0.00144,2.345718984,
0.00145,1.98028869,
0.00146,0.8839978074,
0.00147,1.249428102,
0.00148,1.614858396,
0.00149,1.249428102,
0.0015,1.249428102,
0.00151,1.614858396,
0.00152,-0.2122930751,
0.00153,0.5185675132,
0.00154,0.5185675132,
0.00155,-0.5777233693,
0.00156,0.1531372191,
0.00157,-0.5777233693,
0.00158,-0.2122930751,
0.00159,-0.9431536634,
0.0016,-0.2122930751,
0.00161,-1.674014252,
0.00162,-2.039444546,
0.00163,-0.2122930751,
0.00164,-1.308583958,
0.00165,-0.5777233693,
0.00166,-3.866596017,
0.00167,-2.770305134,
0.00168,-1.674014252,
0.00169,-2.40487484,
0.0017,-0.9431536634,
0.00171,-2.039444546,
0.00172,3.076579572,
0.00173,4.903731043,
0.00174,3.076579572,
0.00175,0.1531372191,
0.00176,7.096312808,
0.00177,2.711149278,
0.00178,-0.2122930751,
0.00179,-1.674014252,
0.0018,3.076579572,
0.00181,2.711149278,
0.00182,-1.308583958,
0.00183,-2.039444546,
0.00184,3.442009867,
0.00185,1.614858396,
0.00186,-2.40487484,
0.00187,1.98028869,
0.00188,-4.962886899,
0.00189,2.345718984,
0.0019,1.98028869,
0.00191,0.5185675132,
0.00192,-0.2122930751,
0.00193,-3.866596017,
0.00194,-1.308583958,
0.00195,-0.9431536634,
0.00196,-0.2122930751,
0.00197,-0.2122930751,
0.00198,-0.2122930751,
0.00199,0.8839978074,
0.002,0.8839978074,
0.00201,1.98028869,
0.00202,2.345718984,
0.00203,0.8839978074,
0.00204,3.442009867,
0.00205,1.614858396,
0.00206,1.614858396,
0.00207,1.249428102,
0.00208,1.98028869,
0.00209,0.8839978074,
0.0021,0.1531372191,
0.00211,0.5185675132,
0.00212,-0.5777233693,
0.00213,0.1531372191,
0.00214,0.1531372191,
0.00215,-2.40487484,
0.00216,0.1531372191,
0.00217,-0.2122930751,
0.00218,-1.674014252,
0.00219,-1.308583958,
0.0022,-1.308583958,
0.00221,-0.9431536634,
0.00222,0.1531372191,
0.00223,0.1531372191,
0.00224,0.8839978074,
0.00225,0.1531372191,
0.00226,1.614858396,
0.00227,0.5185675132,
0.00228,0.8839978074,
0.00229,0.8839978074,
0.0023,0.5185675132,
0.00231,1.249428102,
0.00232,1.614858396,
0.00233,1.249428102,
0.00234,1.98028869,
0.00235,1.614858396,
0.00236,1.249428102,
0.00237,1.614858396,
0.00238,1.614858396,
0.00239,1.98028869,
0.0024,2.345718984,
0.00241,3.076579572,
0.00242,1.98028869,
0.00243,2.711149278,
0.00244,2.711149278,
0.00245,1.249428102,
0.00246,0.8839978074,
0.00247,0.5185675132,
0.00248,0.8839978074,
0.00249,0.5185675132,
0.0025,0.8839978074,
0.00251,-1.308583958,
0.00252,-0.2122930751,
0.00253,0.1531372191,
0.00254,-1.308583958,
0.00255,-1.674014252,
0.00256,-0.9431536634,
0.00257,0.1531372191,
0.00258,-1.308583958,
0.00259,-0.9431536634,
0.0026,-0.2122930751,
0.00261,-0.9431536634,
0.00262,-2.40487484,
0.00263,0.8839978074,
0.00264,-0.9431536634,
0.00265,1.249428102,
0.00266,1.98028869,
0.00267,-2.40487484,
0.00268,-1.308583958,
0.00269,-0.2122930751,
0.0027,6.36545222,
0.00271,-2.40487484,
0.00272,-2.039444546,
0.00273,3.442009867,
0.00274,0.5185675132,
0.00275,1.98028869,
0.00276,-2.770305134,
0.00277,-4.232026311,
0.00278,-3.135735428,
0.00279,-2.770305134,
0.0028,-3.135735428,
0.00281,-5.693747488,
0.00282,-4.597456605,
0.00283,-6.424608076,
0.00284,2.345718984,
0.00285,-6.059177782,
0.00286,-0.2122930751,
0.00287,-0.5777233693,
0.00288,-5.693747488,
0.00289,-3.501165723,
0.0029,-0.5777233693,
0.00291,-1.308583958,
0.00292,-2.40487484,
0.00293,-2.770305134,
0.00294,-0.2122930751,
0.00295,0.1531372191,
0.00296,0.1531372191,
0.00297,0.8839978074,
0.00298,1.249428102,
0.00299,0.5185675132,
0.003,0.8839978074,
0.00301,1.249428102,
0.00302,0.8839978074,
0.00303,1.249428102,
0.00304,1.98028869,
0.00305,-0.5777233693,
0.00306,0.8839978074,
0.00307,0.8839978074,
0.00308,0.5185675132,
0.00309,-0.9431536634,
0.0031,-0.9431536634,
0.00311,-0.5777233693,
0.00312,-1.308583958,
0.00313,-2.039444546,
0.00314,0.1531372191,
0.00315,-0.9431536634,
0.00316,-0.2122930751,
0.00317,-0.5777233693,
0.00318,0.1531372191,
0.00319,-0.2122930751,
0.0032,-0.2122930751,
0.00321,1.249428102,
0.00322,-0.5777233693,
0.00323,0.5185675132,
0.00324,1.98028869,
0.00325,0.5185675132,
0.00326,0.1531372191,
0.00327,1.249428102,
0.00328,1.249428102,
0.00329,1.249428102,
0.0033,0.8839978074,
0.00331,0.1531372191,
0.00332,2.711149278,
0.00333,2.345718984,
0.00334,1.249428102,
0.00335,1.98028869,
0.00336,2.345718984,
0.00337,1.98028869,
0.00338,3.807440161,
0.00339,1.614858396,
0.0034,1.614858396,
0.00341,1.249428102,
0.00342,1.249428102,
0.00343,0.5185675132,
0.00344,1.614858396,
0.00345,-0.5777233693,
0.00346,-0.2122930751,
0.00347,-0.2122930751,
0.00348,-0.2122930751,
0.00349,1.249428102,
0.0035,0.5185675132,
0.00351,-0.9431536634,
0.00352,-0.5777233693,
0.00353,-0.5777233693,
0.00354,-0.5777233693,
0.00355,-1.674014252,
0.00356,-1.308583958,
0.00357,-1.308583958,
0.00358,-1.308583958,
0.00359,-3.501165723,
0.0036,-0.9431536634,
0.00361,-2.039444546,
0.00362,-1.674014252,
0.00363,-0.9431536634,
0.00364,-0.2122930751,
0.00365,1.614858396,
0.00366,2.711149278,
0.00367,5.634591632,
0.00368,3.807440161,
0.00369,-0.2122930751,
0.0037,3.807440161,
0.00371,2.711149278,
0.00372,-0.5777233693,
0.00373,-2.039444546,
0.00374,-0.5777233693,
0.00375,-0.5777233693,
0.00376,-3.866596017,
0.00377,-4.232026311,
0.00378,-2.039444546,
0.00379,-1.308583958,
0.0038,-1.308583958,
0.00381,1.249428102,
0.00382,-4.232026311,
0.00383,-3.866596017,
0.00384,-2.40487484,
0.00385,-6.79003837,
0.00386,-0.5777233693,
0.00387,-0.9431536634,
0.00388,-2.770305134,
0.00389,-0.2122930751,
0.0039,-0.9431536634,
0.00391,-1.674014252,
0.00392,-0.2122930751,
0.00393,-0.2122930751,
0.00394,-0.2122930751,
0.00395,0.8839978074,
0.00396,2.711149278,
0.00397,1.614858396,
0.00398,1.98028869,
0.00399,1.614858396,
0.004,3.076579572,
0.00401,1.98028869,
0.00402,0.8839978074,
0.00403,0.8839978074,
0.00404,0.1531372191,
0.00405,0.5185675132,
0.00406,-0.5777233693,
0.00407,-2.039444546,
0.00408,-1.308583958,
0.00409,-1.308583958,
0.0041,-0.9431536634,
0.00411,-1.308583958,
0.00412,-0.5777233693,
0.00413,-2.770305134,
0.00414,0.1531372191,
0.00415,-2.40487484,
0.00416,-0.9431536634,
0.00417,0.1531372191,
0.00418,-0.5777233693,
0.00419,0.8839978074,
0.0042,1.249428102,
0.00421,1.249428102,
0.00422,0.5185675132,
0.00423,1.614858396,
0.00424,1.249428102,
0.00425,1.614858396,
0.00426,0.1531372191,
0.00427,0.5185675132,
0.00428,1.614858396,
0.00429,0.8839978074,
0.0043,1.614858396,
0.00431,1.614858396,
0.00432,1.614858396,
0.00433,1.98028869,
0.00434,2.711149278,
0.00435,2.711149278,
0.00436,2.345718984,
0.00437,1.614858396,
0.00438,1.98028869,
0.00439,0.8839978074,
0.0044,1.249428102,
0.00441,1.614858396,
0.00442,-0.2122930751,
0.00443,-0.2122930751,
0.00444,0.8839978074,
0.00445,-0.2122930751,
0.00446,0.5185675132,
0.00447,0.1531372191,
0.00448,-0.2122930751,
0.00449,-0.9431536634,
0.0045,0.8839978074,
