"x1(PinA0)_x","x1(PinA0)_y"
0,0.8747304952,
2e-05,-0.5869906815,
4e-05,1.240160789,
6e-05,-0.5869906815,
8e-05,-0.2215603874,
0.0001,-0.9524209757,
0.00012,-0.2215603874,
0.00014,0.509300201,
0.00016,0.1438699068,
0.00018,-2.414142152,
0.0002,-2.414142152,
0.00022,-1.31785127,
0.00024,0.1438699068,
0.00026,-0.9524209757,
0.00028,1.605591084,
0.0003,5.990754614,
0.00032,5.990754614,
0.00034,0.8747304952,
0.00036,0.1438699068,
0.00038,3.798172849,
0.0004,-6.068445094,
0.00042,-0.9524209757,
0.00044,-0.9524209757,
0.00046,-1.31785127,
0.00048,-3.145002741,
0.0005,-1.31785127,
0.00052,-1.683281564,
0.00054,-0.2215603874,
0.00056,0.8747304952,
0.00058,1.605591084,
0.0006,2.336451672,
0.00062,3.06731226,
0.00064,1.605591084,
0.00066,1.240160789,
0.00068,-0.9524209757,
0.0007,-0.5869906815,
0.00072,-1.31785127,
0.00074,-0.2215603874,
0.00076,-0.9524209757,
0.00078,-0.5869906815,
0.0008,0.509300201,
0.00082,-0.2215603874,
0.00084,0.8747304952,
0.00086,0.8747304952,
0.00088,1.240160789,
0.0009,1.605591084,
0.00092,0.509300201,
0.00094,2.701881966,
0.00096,0.8747304952,
0.00098,1.971021378,
0.001,-0.2215603874,
0.00102,-0.5869906815,
0.00104,0.509300201,
0.00106,0.1438699068,
0.00108,-0.9524209757,
0.0011,0.1438699068,
0.00112,-0.9524209757,
0.00114,-2.414142152,
0.00116,-1.31785127,
0.00118,-1.31785127,
0.0012,0.509300201,
0.00122,4.163603143,
0.00124,-2.048711858,
0.00126,0.1438699068,
0.00128,-0.2215603874,
0.0013,1.605591084,
0.00132,-4.241293623,
0.00134,-4.241293623,
0.00136,-3.145002741,
0.00138,-3.510433035,
0.0014,-1.31785127,
0.00142,-2.414142152,
0.00144,-0.5869906815,
0.00146,-0.9524209757,
0.00148,-3.510433035,
0.0015,-1.683281564,
0.00152,0.1438699068,
0.00154,1.240160789,
0.00156,2.336451672,
0.00158,3.06731226,
0.0016,1.240160789,
0.00162,0.509300201,
0.00164,0.509300201,
0.00166,-0.9524209757,
0.00168,-0.9524209757,
0.0017,-2.048711858,
0.00172,-1.683281564,
0.00174,-0.5869906815,
0.00176,-0.5869906815,
0.00178,0.1438699068,
0.0018,0.8747304952,
0.00182,0.509300201,
0.00184,2.336451672,
0.00186,1.240160789,
0.00188,1.605591084,
0.0019,0.509300201,
0.00192,2.336451672,
0.00194,1.605591084,
0.00196,0.8747304952,
0.00198,0.509300201,
0.002,0.509300201,
0.00202,0.8747304952,
0.00204,1.240160789,
0.00206,0.509300201,
0.00208,0.1438699068,
0.0021,-1.31785127,
0.00212,-0.5869906815,
0.00214,-1.31785127,
0.00216,-1.683281564,
0.00218,-1.683281564,
0.0022,-2.779572447,
0.00222,4.529033437,
0.00224,-0.5869906815,
0.00226,5.259894025,
0.00228,3.432742554,
0.0023,5.990754614,
0.00232,-4.972154212,
0.00234,-1.683281564,
0.00236,2.336451672,
0.00238,-3.145002741,
0.0024,-4.972154212,
0.00242,1.240160789,
0.00244,-2.414142152,
0.00246,-2.779572447,
0.00248,-0.5869906815,
0.0025,0.1438699068,
0.00252,1.605591084,
0.00254,2.336451672,
0.00256,2.336451672,
0.00258,3.06731226,
0.0026,0.8747304952,
0.00262,-0.5869906815,
0.00264,-0.2215603874,
0.00266,-0.9524209757,
0.00268,-0.5869906815,
0.0027,-0.5869906815,
0.00272,-0.2215603874,
0.00274,0.509300201,
0.00276,0.509300201,
0.00278,0.8747304952,
0.0028,1.605591084,
0.00282,2.336451672,
0.00284,1.605591084,
0.00286,1.605591084,
0.00288,2.336451672,
0.0029,1.240160789,
0.00292,0.509300201,
0.00294,0.8747304952,
0.00296,0.1438699068,
0.00298,0.509300201,
0.003,-0.2215603874,
0.00302,0.1438699068,
0.00304,0.1438699068,
0.00306,-0.2215603874,
0.00308,-0.2215603874,
0.0031,-0.5869906815,
0.00312,-1.683281564,
0.00314,-2.048711858,
0.00316,-0.9524209757,
0.00318,1.240160789,
0.0032,-0.9524209757,
0.00322,6.356184908,
0.00324,5.990754614,
0.00326,-3.510433035,
0.00328,-3.145002741,
0.0033,-4.606723917,
0.00332,3.432742554,
0.00334,-4.606723917,
0.00336,-0.5869906815,
0.00338,-3.145002741,
0.0034,-4.972154212,
0.00342,-2.414142152,
0.00344,-1.31785127,
0.00346,-0.5869906815,
0.00348,2.701881966,
0.0035,1.240160789,
0.00352,1.971021378,
0.00354,3.432742554,
0.00356,1.240160789,
0.00358,-0.2215603874,
0.0036,0.1438699068,
0.00362,-2.414142152,
0.00364,-0.9524209757,
0.00366,-0.9524209757,
0.00368,0.1438699068,
0.0037,-0.2215603874,
0.00372,-0.2215603874,
0.00374,1.240160789,
0.00376,1.605591084,
0.00378,1.971021378,
0.0038,1.605591084,
0.00382,1.971021378,
0.00384,1.605591084,
0.00386,0.8747304952,
0.00388,3.06731226,
0.0039,3.06731226,
0.00392,2.701881966,
0.00394,1.605591084,
0.00396,1.240160789,
0.00398,0.1438699068,
0.004,-0.5869906815,
0.00402,0.509300201,
0.00404,-0.9524209757,
0.00406,-1.31785127,
0.00408,0.1438699068,
0.0041,-1.683281564,
0.00412,-2.414142152,
0.00414,1.971021378,
0.00416,3.432742554,
0.00418,5.625324319,
0.0042,6.721615202,
0.00422,-1.31785127,
0.00424,5.990754614,
0.00426,0.1438699068,
0.00428,-2.414142152,
0.0043,3.798172849,
0.00432,2.336451672,
0.00434,-4.606723917,
0.00436,1.240160789,
0.00438,-0.9524209757,
0.0044,-2.779572447,
0.00442,0.1438699068,
0.00444,-0.5869906815,
0.00446,-0.2215603874,
0.00448,1.605591084,
0.0045,1.971021378,
0.00452,2.701881966,
0.00454,1.240160789,
0.00456,0.509300201,
0.00458,0.1438699068,
0.0046,-0.9524209757,
0.00462,-0.9524209757,
0.00464,-0.9524209757,
0.00466,-0.9524209757,
0.00468,0.1438699068,
0.0047,-0.5869906815,
0.00472,0.8747304952,
0.00474,1.605591084,
0.00476,1.971021378,
0.00478,0.8747304952,
0.0048,1.971021378,
0.00482,1.971021378,
0.00484,1.605591084,
0.00486,0.509300201,
0.00488,0.509300201,
0.0049,0.8747304952,
0.00492,-0.5869906815,
0.00494,-0.9524209757,
0.00496,-0.9524209757,
0.00498,-0.5869906815,
0.005,0.509300201,
0.00502,-0.5869906815,
0.00504,-1.31785127,
0.00506,-0.2215603874,
0.00508,-0.2215603874,
0.0051,-3.145002741,
0.00512,3.06731226,
0.00514,-1.683281564,
0.00516,3.798172849,
0.00518,5.625324319,
0.0052,-1.683281564,
0.00522,4.529033437,
0.00524,-2.414142152,
0.00526,-4.241293623,
0.00528,0.8747304952,
0.0053,-0.5869906815,
0.00532,-2.048711858,
0.00534,-0.9524209757,
0.00536,-0.9524209757,
0.00538,-2.779572447,
0.0054,-0.9524209757,
0.00542,-1.31785127,
0.00544,0.1438699068,
0.00546,1.605591084,
0.00548,2.336451672,
0.0055,1.971021378,
0.00552,1.240160789,
0.00554,-0.2215603874,
0.00556,-0.5869906815,
0.00558,-0.5869906815,
0.0056,-1.683281564,
0.00562,-0.9524209757,
0.00564,-0.2215603874,
0.00566,-1.31785127,
0.00568,-0.2215603874,
0.0057,-0.5869906815,
0.00572,0.509300201,
0.00574,1.240160789,
0.00576,0.509300201,
0.00578,1.605591084,
0.0058,0.1438699068,
0.00582,1.240160789,
0.00584,1.971021378,
0.00586,0.509300201,
0.00588,1.240160789,
0.0059,-0.5869906815,
0.00592,-2.048711858,
0.00594,-2.048711858,
0.00596,-1.683281564,
0.00598,-0.5869906815,
0.006,-0.5869906815,
0.00602,-1.683281564,
0.00604,-2.414142152,
0.00606,-1.683281564,
0.00608,-2.414142152,
0.0061,-1.683281564,
0.00612,-1.31785127,
0.00614,4.894463731,
0.00616,-0.5869906815,
0.00618,5.990754614,
0.0062,5.625324319,
0.00622,2.701881966,
0.00624,1.605591084,
0.00626,0.1438699068,
0.00628,-6.799305682,
0.0063,-5.7030148,
0.00632,-1.31785127,
0.00634,-3.875863329,
0.00636,-2.414142152,
0.00638,-2.779572447,
0.0064,-1.31785127,
0.00642,0.509300201,
0.00644,0.509300201,
0.00646,3.06731226,
0.00648,0.509300201,
0.0065,-0.5869906815,
0.00652,0.509300201,
0.00654,-0.5869906815,
0.00656,-2.048711858,
0.00658,-1.31785127,
0.0066,-0.9524209757,
0.00662,-3.145002741,
0.00664,-1.31785127,
0.00666,-0.9524209757,
0.00668,-1.31785127,
0.0067,0.509300201,
0.00672,0.509300201,
0.00674,0.1438699068,
0.00676,1.605591084,
0.00678,1.605591084,
0.0068,0.509300201,
0.00682,0.8747304952,
0.00684,0.1438699068,
0.00686,0.1438699068,
0.00688,0.1438699068,
0.0069,-0.5869906815,
0.00692,-1.683281564,
0.00694,-0.5869906815,
0.00696,-0.9524209757,
0.00698,-2.779572447,
0.007,-2.048711858,
0.00702,-2.048711858,
0.00704,-3.145002741,
0.00706,-2.048711858,
0.00708,1.971021378,
0.0071,-2.779572447,
0.00712,4.529033437,
0.00714,5.990754614,
0.00716,-0.5869906815,
0.00718,-1.31785127,
0.0072,-1.31785127,
0.00722,1.605591084,
0.00724,-2.414142152,
0.00726,-6.433875388,
0.00728,-0.9524209757,
0.0073,-4.241293623,
0.00732,-2.414142152,
0.00734,-3.510433035,
0.00736,-1.683281564,
0.00738,-1.31785127,
0.0074,-0.5869906815,
0.00742,1.605591084,
0.00744,1.605591084,
0.00746,0.8747304952,
0.00748,0.8747304952,
0.0075,0.8747304952,
0.00752,-3.145002741,
0.00754,-2.779572447,
0.00756,-2.414142152,
0.00758,-2.414142152,
0.0076,-2.048711858,
0.00762,0.1438699068,
0.00764,-0.5869906815,
0.00766,0.8747304952,
0.00768,0.1438699068,
0.0077,0.509300201,
0.00772,1.240160789,
0.00774,1.971021378,
0.00776,1.240160789,
0.00778,1.240160789,
0.0078,1.971021378,
0.00782,0.509300201,
0.00784,1.240160789,
0.00786,-0.2215603874,
0.00788,-0.2215603874,
0.0079,-0.2215603874,
0.00792,0.8747304952,
0.00794,-1.31785127,
0.00796,-0.9524209757,
0.00798,-0.2215603874,
0.008,-1.683281564,
0.00802,-2.414142152,
0.00804,-0.2215603874,
0.00806,3.432742554,
0.00808,2.336451672,
0.0081,5.625324319,
0.00812,5.990754614,
0.00814,5.259894025,
0.00816,3.798172849,
0.00818,-2.779572447,
0.0082,1.605591084,
0.00822,1.605591084,
0.00824,-4.972154212,
0.00826,-1.683281564,
0.00828,-4.241293623,
0.0083,-3.875863329,
0.00832,-1.31785127,
0.00834,-0.9524209757,
0.00836,0.1438699068,
0.00838,2.336451672,
0.0084,0.509300201,
0.00842,2.701881966,
0.00844,1.605591084,
0.00846,2.336451672,
0.00848,-0.9524209757,
0.0085,-0.2215603874,
0.00852,-0.5869906815,
0.00854,-1.31785127,
0.00856,-1.31785127,
0.00858,-1.31785127,
0.0086,-1.31785127,
0.00862,1.240160789,
0.00864,0.509300201,
0.00866,-0.5869906815,
0.00868,1.240160789,
0.0087,1.605591084,
0.00872,1.240160789,
0.00874,1.971021378,
0.00876,3.432742554,
0.00878,0.8747304952,
0.0088,1.971021378,
0.00882,0.8747304952,
0.00884,-0.2215603874,
0.00886,0.509300201,
0.00888,-0.5869906815,
0.0089,-0.5869906815,
0.00892,-0.2215603874,
0.00894,-1.31785127,
0.00896,-0.9524209757,
0.00898,-1.31785127,
0.009,-2.048711858,
0.00902,-0.2215603874,
0.00904,-2.779572447,
0.00906,3.432742554,
0.00908,-0.2215603874,
0.0091,5.625324319,
0.00912,5.259894025,
0.00914,-4.606723917,
0.00916,-6.068445094,
0.00918,-1.31785127,
0.0092,-0.9524209757,
0.00922,0.509300201,
0.00924,-2.048711858,
0.00926,-3.145002741,
0.00928,-2.414142152,
0.0093,-3.145002741,
0.00932,-0.5869906815,
0.00934,0.8747304952,
0.00936,1.605591084,
0.00938,1.971021378,
0.0094,1.971021378,
0.00942,1.240160789,
0.00944,0.1438699068,
0.00946,0.1438699068,
