"x1(PinA0)_x","x1(PinA0)_y"
0,1.69792801,
1e-05,0.6016371277,
2e-05,2.063358304,
3e-05,-0.4946537548,
4e-05,2.063358304,
5e-05,0.6016371277,
6e-05,0.9670674219,
7e-05,0.6016371277,
8e-05,2.063358304,
9e-05,0.2362068335,
0.0001,0.6016371277,
0.00011,2.063358304,
0.00012,1.69792801,
0.00013,0.2362068335,
0.00014,2.063358304,
0.00015,0.6016371277,
0.00016,1.332497716,
0.00017,0.9670674219,
0.00018,1.332497716,
0.00019,-1.590944637,
0.0002,0.9670674219,
0.00021,0.2362068335,
0.00022,-0.1292234606,
0.00023,0.9670674219,
0.00024,0.2362068335,
0.00025,0.2362068335,
0.00026,0.6016371277,
0.00027,-0.4946537548,
0.00028,-0.4946537548,
0.00029,-3.418096108,
0.0003,0.2362068335,
0.00031,-0.1292234606,
0.00032,-0.4946537548,
0.00033,-0.860084049,
0.00034,-0.860084049,
0.00035,-0.4946537548,
0.00036,-0.1292234606,
0.00037,-1.225514343,
0.00038,-0.860084049,
0.00039,-0.1292234606,
0.0004,-0.1292234606,
0.00041,-1.590944637,
0.00042,0.2362068335,
0.00043,0.2362068335,
0.00044,-0.4946537548,
0.00045,-1.225514343,
0.00046,0.2362068335,
0.00047,-0.860084049,
0.00048,-0.4946537548,
0.00049,-0.4946537548,
0.0005,-1.225514343,
0.00051,-1.590944637,
0.00052,-3.052665814,
0.00053,-1.956374931,
0.00054,-0.4946537548,
0.00055,-0.860084049,
0.00056,-1.225514343,
0.00057,-0.860084049,
0.00058,-3.052665814,
0.00059,-0.4946537548,
0.0006,-2.68723552,
0.00061,-1.590944637,
0.00062,-2.68723552,
0.00063,-3.418096108,
0.00064,-2.68723552,
0.00065,-1.956374931,
0.00066,-2.68723552,
0.00067,-4.879817285,
0.00068,-1.225514343,
0.00069,-4.879817285,
0.0007,-0.860084049,
0.00071,0.9670674219,
0.00072,-3.052665814,
0.00073,-1.225514343,
0.00074,1.332497716,
0.00075,-1.956374931,
0.00076,-1.590944637,
0.00077,-2.68723552,
0.00078,-2.68723552,
0.00079,-1.590944637,
0.0008,-4.879817285,
0.00081,-2.68723552,
0.00082,-1.225514343,
0.00083,-2.321805226,
0.00084,-3.418096108,
0.00085,0.2362068335,
0.00086,-1.225514343,
0.00087,-3.052665814,
0.00088,-3.783526402,
0.00089,-4.514386991,
0.0009,-4.879817285,
0.00091,-4.514386991,
0.00092,-1.225514343,
0.00093,-3.783526402,
0.00094,-1.956374931,
0.00095,-5.610677873,
0.00096,0.9670674219,
0.00097,-0.860084049,
0.00098,-3.052665814,
0.00099,-5.245247579,
0.001,0.6016371277,
0.00101,-6.341538462,
0.00102,-0.1292234606,
0.00103,-2.68723552,
0.00104,-1.590944637,
0.00105,-3.418096108,
0.00106,-1.225514343,
0.00107,-1.590944637,
0.00108,-0.4946537548,
0.00109,-2.68723552,
0.0011,-1.225514343,
0.00111,-1.956374931,
0.00112,-2.68723552,
0.00113,-5.610677873,
0.00114,-3.052665814,
0.00115,-6.706968756,
0.00116,-1.225514343,
0.00117,-2.68723552,
0.00118,-5.245247579,
0.00119,-4.514386991,
0.0012,-0.860084049,
0.00121,-3.052665814,
0.00122,0.6016371277,
0.00123,-3.418096108,
0.00124,-1.225514343,
0.00125,-3.052665814,
0.00126,-1.225514343,
0.00127,-0.860084049,
0.00128,-2.321805226,
0.00129,-1.225514343,
0.0013,-0.860084049,
0.00131,-4.514386991,
0.00132,-3.052665814,
0.00133,-3.418096108,
0.00134,-3.418096108,
0.00135,-4.148956697,
0.00136,-3.783526402,
0.00137,-0.1292234606,
0.00138,-2.68723552,
0.00139,0.2362068335,
0.0014,-3.418096108,
0.00141,-4.514386991,
0.00142,-5.245247579,
0.00143,-3.052665814,
0.00144,-2.68723552,
0.00145,-0.860084049,
0.00146,-2.68723552,
0.00147,-1.225514343,
0.00148,-3.783526402,
0.00149,-1.956374931,
0.0015,-3.052665814,
0.00151,-2.321805226,
0.00152,-4.148956697,
0.00153,-3.052665814,
0.00154,-3.418096108,
0.00155,-1.225514343,
0.00156,-0.1292234606,
0.00157,-1.590944637,
0.00158,1.332497716,
0.00159,-3.783526402,
0.0016,0.2362068335,
0.00161,-0.860084049,
0.00162,-0.860084049,
0.00163,0.2362068335,
0.00164,-0.4946537548,
0.00165,-2.68723552,
0.00166,-2.68723552,
0.00167,0.2362068335,
0.00168,-3.052665814,
0.00169,-1.590944637,
0.0017,-0.860084049,
0.00171,-2.321805226,
0.00172,-1.590944637,
0.00173,-0.1292234606,
0.00174,0.2362068335,
0.00175,-1.225514343,
0.00176,-0.4946537548,
0.00177,-1.956374931,
0.00178,-0.860084049,
0.00179,-0.1292234606,
0.0018,-0.860084049,
0.00181,-0.4946537548,
0.00182,-0.4946537548,
0.00183,-0.860084049,
0.00184,-0.860084049,
0.00185,-1.956374931,
0.00186,-0.1292234606,
0.00187,-0.860084049,
0.00188,-0.860084049,
0.00189,-0.860084049,
0.0019,-0.1292234606,
0.00191,-1.590944637,
0.00192,-0.4946537548,
0.00193,-0.4946537548,
0.00194,-0.1292234606,
0.00195,-0.4946537548,
0.00196,0.2362068335,
0.00197,0.2362068335,
0.00198,1.332497716,
0.00199,0.6016371277,
0.002,0.9670674219,
0.00201,0.6016371277,
0.00202,0.2362068335,
0.00203,-1.225514343,
0.00204,0.9670674219,
0.00205,0.2362068335,
0.00206,1.69792801,
0.00207,0.9670674219,
0.00208,1.69792801,
0.00209,0.9670674219,
0.0021,0.9670674219,
0.00211,-0.1292234606,
0.00212,1.332497716,
0.00213,-0.1292234606,
0.00214,0.9670674219,
0.00215,1.332497716,
0.00216,2.428788599,
0.00217,1.69792801,
0.00218,2.063358304,
0.00219,2.063358304,
0.0022,1.69792801,
0.00221,1.332497716,
0.00222,0.9670674219,
0.00223,2.428788599,
0.00224,2.428788599,
0.00225,1.69792801,
0.00226,3.159649187,
0.00227,0.9670674219,
0.00228,3.159649187,
0.00229,2.063358304,
0.0023,2.794218893,
0.00231,1.69792801,
0.00232,2.428788599,
0.00233,2.063358304,
0.00234,2.063358304,
0.00235,1.332497716,
0.00236,2.063358304,
0.00237,1.332497716,
0.00238,1.332497716,
0.00239,1.332497716,
0.0024,3.159649187,
0.00241,1.69792801,
0.00242,1.332497716,
0.00243,2.063358304,
0.00244,2.794218893,
0.00245,2.794218893,
0.00246,3.159649187,
0.00247,2.794218893,
0.00248,2.794218893,
0.00249,1.69792801,
0.0025,2.794218893,
0.00251,2.428788599,
0.00252,1.69792801,
0.00253,2.428788599,
0.00254,2.428788599,
0.00255,2.063358304,
0.00256,1.69792801,
0.00257,2.063358304,
0.00258,2.428788599,
0.00259,2.428788599,
0.0026,3.159649187,
0.00261,1.332497716,
0.00262,2.794218893,
0.00263,2.063358304,
0.00264,2.794218893,
0.00265,1.69792801,
0.00266,2.794218893,
0.00267,1.69792801,
0.00268,3.159649187,
0.00269,2.794218893,
0.0027,2.794218893,
0.00271,2.794218893,
0.00272,2.794218893,
0.00273,3.159649187,
0.00274,2.794218893,
0.00275,2.063358304,
0.00276,3.159649187,
0.00277,2.794218893,
0.00278,3.525079481,
0.00279,3.159649187,
0.0028,3.525079481,
0.00281,2.794218893,
0.00282,2.428788599,
0.00283,3.525079481,
0.00284,1.332497716,
0.00285,2.063358304,
0.00286,1.332497716,
0.00287,1.332497716,
0.00288,2.794218893,
0.00289,2.428788599,
0.0029,1.69792801,
0.00291,1.69792801,
0.00292,2.428788599,
0.00293,2.428788599,
0.00294,2.428788599,
0.00295,2.428788599,
0.00296,3.525079481,
0.00297,1.69792801,
0.00298,2.794218893,
0.00299,1.332497716,
0.003,1.69792801,
0.00301,2.063358304,
0.00302,3.159649187,
0.00303,2.063358304,
0.00304,3.890509775,
0.00305,3.159649187,
0.00306,1.69792801,
0.00307,2.063358304,
0.00308,3.525079481,
0.00309,2.794218893,
0.0031,2.063358304,
0.00311,1.332497716,
0.00312,3.159649187,
0.00313,0.9670674219,
0.00314,0.9670674219,
0.00315,0.9670674219,
0.00316,1.332497716,
0.00317,0.6016371277,
0.00318,1.69792801,
0.00319,0.6016371277,
0.0032,1.332497716,
0.00321,1.332497716,
0.00322,0.9670674219,
0.00323,0.9670674219,
0.00324,2.063358304,
0.00325,0.9670674219,
0.00326,1.69792801,
0.00327,1.332497716,
0.00328,1.69792801,
0.00329,0.6016371277,
0.0033,1.332497716,
0.00331,-0.1292234606,
0.00332,0.6016371277,
0.00333,0.9670674219,
0.00334,0.2362068335,
0.00335,1.332497716,
0.00336,1.69792801,
0.00337,0.6016371277,
0.00338,1.332497716,
0.00339,1.332497716,
0.0034,0.6016371277,
0.00341,-0.1292234606,
0.00342,1.69792801,
0.00343,0.6016371277,
0.00344,1.69792801,
0.00345,0.2362068335,
0.00346,1.332497716,
0.00347,-0.860084049,
0.00348,0.6016371277,
0.00349,-0.1292234606,
0.0035,-0.1292234606,
0.00351,-0.1292234606,
0.00352,-0.1292234606,
0.00353,0.9670674219,
0.00354,0.6016371277,
0.00355,0.6016371277,
0.00356,0.9670674219,
0.00357,0.6016371277,
0.00358,0.6016371277,
0.00359,0.6016371277,
0.0036,-0.4946537548,
0.00361,-0.1292234606,
0.00362,2.063358304,
