"x1(PinA0)_x","x1(PinA0)_y"
0,-4.012402704,
2e-05,-8.397566234,
4e-05,-10.590148,
6e-05,-12.78272976,
8e-05,-11.68643888,
0.0001,-9.859287411,
0.00012,-4.377832998,
0.00014,2.199912297,
0.00016,5.854215238,
0.00018,9.50851818,
0.0002,9.50851818,
0.00022,11.70109995,
0.00024,9.50851818,
0.00026,7.681366709,
0.00028,5.12335465,
0.0003,0.73819112,
0.00032,-2.916111822,
0.00034,-4.377832998,
0.00036,-9.859287411,
0.00038,-12.05186918,
0.0004,-11.68643888,
0.00042,-10.22471771,
0.00044,-6.570414763,
0.00046,-0.7235300566,
0.00048,4.392494062,
0.0005,7.681366709,
0.00052,11.70109995,
0.00054,11.70109995,
0.00056,10.60480906,
0.00058,9.50851818,
0.0006,6.219645533,
0.00062,2.930772885,
0.00064,-0.3580997625,
0.00066,-3.281542116,
0.00068,-8.397566234,
0.0007,-11.68643888,
0.00072,-12.41729947,
0.00074,-11.32100859,
0.00076,-8.03213594,
0.00078,-1.454390645,
0.0008,2.930772885,
0.00082,5.488784944,
0.00084,10.23937877,
0.00086,12.06653024,
0.00088,10.97023936,
0.0009,11.70109995,
0.00092,6.219645533,
0.00094,3.296203179,
0.00096,-0.3580997625,
0.00098,-3.281542116,
0.001,-5.108693587,
0.00102,-10.590148,
0.00104,-13.87902065,
0.00106,-12.05186918,
0.00108,-9.493857117,
0.0011,-4.743263293,
0.00112,0.73819112,
0.00114,6.585075827,
0.00116,9.50851818,
0.00118,10.60480906,
0.0012,10.97023936,
0.00122,10.97023936,
0.00124,8.777657592,
0.00126,5.488784944,
0.00128,2.199912297,
0.0013,0.007330531701,
0.00132,-5.108693587,
0.00134,-9.128426823,
0.00136,-12.05186918,
0.00138,-12.05186918,
0.0014,-10.22471771,
0.00142,-6.204984469,
0.00144,-0.3580997625,
0.00146,4.392494062,
0.00148,8.046797003,
0.0015,10.60480906,
0.00152,10.97023936,
0.00154,11.70109995,
0.00156,9.50851818,
0.00158,6.219645533,
0.0016,3.661633473,
0.00162,0.007330531701,
0.00164,-3.64697241,
0.00166,-8.762996528,
0.00168,-10.95557829,
0.0017,-12.78272976,
0.00172,-12.05186918,
0.00174,-7.666705646,
0.00176,-3.64697241,
0.00178,1.834482003,
0.0018,6.585075827,
0.00182,9.873948474,
0.00184,11.70109995,
0.00186,11.33566965,
0.00188,9.50851818,
0.0019,8.412227298,
0.00192,3.661633473,
0.00194,0.3727608259,
0.00196,-2.550681527,
0.00198,-5.839554175,
0.002,-9.128426823,
0.00202,-12.41729947,
0.00204,-13.14816006,
0.00206,-10.22471771,
0.00208,-5.474123881,
0.0021,-1.088960351,
0.00212,5.854215238,
0.00214,8.412227298,
0.00216,10.60480906,
0.00218,11.33566965,
0.0022,10.97023936,
0.00222,9.143087886,
0.00224,4.757924356,
0.00226,2.199912297,
0.00228,-1.454390645,
0.0023,-3.64697241,
0.00232,-7.301275352,
0.00234,-12.05186918,
0.00236,-12.41729947,
0.00238,-10.590148,
0.0024,-6.204984469,
0.00242,-0.7235300566,
0.00244,2.565342591,
0.00246,6.219645533,
0.00248,9.873948474,
0.0025,10.97023936,
0.00252,10.23937877,
0.00254,10.23937877,
0.00256,7.315936415,
0.00258,2.930772885,
0.0026,0.007330531701,
0.00262,-3.281542116,
0.00264,-7.666705646,
0.00266,-9.859287411,
0.00268,-12.78272976,
0.0027,-13.14816006,
0.00272,-9.493857117,
0.00274,-4.377832998,
0.00276,1.469051708,
0.00278,6.585075827,
0.0028,8.777657592,
0.00282,11.33566965,
0.00284,12.43196053,
0.00286,9.50851818,
0.00288,8.046797003,
0.0029,6.585075827,
0.00292,2.199912297,
0.00294,-3.281542116,
0.00296,-6.570414763,
0.00298,-10.590148,
0.003,-12.78272976,
0.00302,-14.24445094,
0.00304,-10.590148,
0.00306,-6.204984469,
0.00308,-0.3580997625,
0.0031,3.661633473,
0.00312,8.046797003,
0.00314,10.97023936,
0.00316,10.23937877,
0.00318,10.60480906,
0.0032,9.143087886,
0.00322,5.488784944,
0.00324,2.930772885,
0.00326,-1.454390645,
0.00328,-5.108693587,
0.0033,-9.128426823,
0.00332,-11.32100859,
0.00334,-13.51359035,
0.00336,-11.32100859,
0.00338,-9.128426823,
0.0034,-3.64697241,
0.00342,1.834482003,
0.00344,6.585075827,
0.00346,8.412227298,
0.00348,11.33566965,
0.0035,10.97023936,
0.00352,9.50851818,
0.00354,6.585075827,
0.00356,4.757924356,
0.00358,-0.7235300566,
0.0036,-3.281542116,
0.00362,-7.666705646,
0.00364,-11.68643888,
0.00366,-13.87902065,
0.00368,-10.95557829,
0.0037,-9.859287411,
0.00372,-5.474123881,
0.00374,1.469051708,
0.00376,5.488784944,
0.00378,8.046797003,
0.0038,11.33566965,
0.00382,10.60480906,
0.00384,9.50851818,
0.00386,9.50851818,
0.00388,5.854215238,
0.0039,1.469051708,
0.00392,-2.185251233,
0.00394,-6.204984469,
0.00396,-8.397566234,
0.00398,-12.05186918,
0.004,-13.14816006,
0.00402,-11.32100859,
0.00404,-6.204984469,
0.00406,-1.819820939,
0.00408,3.661633473,
0.0041,8.046797003,
0.00412,8.777657592,
0.00414,10.60480906,
0.00416,10.60480906,
0.00418,8.777657592,
0.0042,5.854215238,
0.00422,3.296203179,
0.00424,-0.3580997625,
0.00426,-4.743263293,
0.00428,-8.03213594,
0.0043,-10.95557829,
0.00432,-13.14816006,
0.00434,-12.78272976,
0.00436,-8.397566234,
0.00438,-5.108693587,
0.0044,2.199912297,
0.00442,6.219645533,
0.00444,9.873948474,
0.00446,11.70109995,
0.00448,12.43196053,
0.0045,9.50851818,
0.00452,8.046797003,
0.00454,5.488784944,
0.00456,1.103621414,
0.00458,-3.281542116,
0.0046,-5.474123881,
0.00462,-9.493857117,
0.00464,-11.68643888,
0.00466,-13.14816006,
0.00468,-10.590148,
0.0047,-5.839554175,
0.00472,1.103621414,
0.00474,5.12335465,
0.00476,7.315936415,
0.00478,10.97023936,
0.0048,10.60480906,
0.00482,9.143087886,
0.00484,8.777657592,
0.00486,6.585075827,
0.00488,2.565342591,
0.0049,-1.088960351,
0.00492,-4.377832998,
0.00494,-9.128426823,
0.00496,-12.05186918,
0.00498,-12.05186918,
0.005,-10.590148,
0.00502,-8.762996528,
0.00504,-1.454390645,
0.00506,1.834482003,
0.00508,6.219645533,
0.0051,9.143087886,
0.00512,12.06653024,
0.00514,11.70109995,
0.00516,8.777657592,
0.00518,6.219645533,
0.0052,2.930772885,
0.00522,-0.3580997625,
0.00524,-3.64697241,
0.00526,-7.666705646,
0.00528,-10.590148,
0.0053,-13.14816006,
0.00532,-12.78272976,
0.00534,-9.859287411,
0.00536,-3.64697241,
0.00538,0.3727608259,
0.0054,5.854215238,
0.00542,8.412227298,
0.00544,11.33566965,
0.00546,10.23937877,
0.00548,9.50851818,
0.0055,6.585075827,
0.00552,5.12335465,
0.00554,1.834482003,
0.00556,-2.916111822,
0.00558,-4.377832998,
0.0056,-9.493857117,
0.00562,-12.05186918,
0.00564,-13.14816006,
0.00566,-9.493857117,
0.00568,-6.935845058,
0.0057,-0.7235300566,
0.00572,4.757924356,
0.00574,6.219645533,
0.00576,9.50851818,
0.00578,10.97023936,
0.0058,9.873948474,
0.00582,8.046797003,
0.00584,5.488784944,
0.00586,2.199912297,
0.00588,-0.7235300566,
0.0059,-4.012402704,
0.00592,-9.128426823,
0.00594,-12.05186918,
0.00596,-13.14816006,
0.00598,-13.51359035,
0.006,-8.762996528,
0.00602,-3.64697241,
0.00604,1.469051708,
0.00606,5.12335465,
0.00608,8.412227298,
0.0061,9.50851818,
0.00612,8.777657592,
0.00614,9.50851818,
0.00616,7.315936415,
0.00618,2.930772885,
0.0062,0.007330531701,
0.00622,-3.281542116,
0.00624,-6.935845058,
0.00626,-10.22471771,
0.00628,-13.14816006,
0.0063,-13.14816006,
0.00632,-10.22471771,
0.00634,-5.839554175,
0.00636,-0.7235300566,
0.00638,4.392494062,
0.0064,7.315936415,
0.00642,9.143087886,
0.00644,10.97023936,
0.00646,9.873948474,
0.00648,7.315936415,
0.0065,4.027063768,
0.00652,1.469051708,
0.00654,-2.185251233,
0.00656,-5.108693587,
0.00658,-9.493857117,
0.0066,-11.68643888,
0.00662,-13.51359035,
0.00664,-11.32100859,
0.00666,-8.762996528,
0.00668,-1.819820939,
0.0067,2.565342591,
0.00672,5.488784944,
0.00674,9.873948474,
0.00676,10.23937877,
0.00678,10.60480906,
0.0068,9.143087886,
0.00682,5.488784944,
0.00684,2.199912297,
0.00686,-1.454390645,
0.00688,-5.108693587,
0.0069,-8.397566234,
0.00692,-10.590148,
0.00694,-12.78272976,
0.00696,-13.14816006,
0.00698,-9.128426823,
0.007,-4.743263293,
0.00702,0.3727608259,
0.00704,5.488784944,
0.00706,7.681366709,
0.00708,9.873948474,
0.0071,10.23937877,
0.00712,10.97023936,
0.00714,8.046797003,
0.00716,4.027063768,
0.00718,-0.3580997625,
0.0072,-3.64697241,
0.00722,-6.204984469,
0.00724,-9.859287411,
0.00726,-12.41729947,
0.00728,-13.14816006,
0.0073,-11.68643888,
0.00732,-5.108693587,
0.00734,-1.088960351,
0.00736,2.565342591,
0.00738,7.681366709,
0.0074,8.777657592,
0.00742,10.23937877,
0.00744,10.97023936,
0.00746,8.412227298,
0.00748,4.392494062,
0.0075,1.469051708,
0.00752,-1.454390645,
0.00754,-5.108693587,
0.00756,-8.397566234,
0.00758,-11.68643888,
0.0076,-13.51359035,
0.00762,-12.05186918,
0.00764,-8.397566234,
0.00766,-2.185251233,
0.00768,2.199912297,
0.0077,6.950506121,
0.00772,8.412227298,
0.00774,11.33566965,
0.00776,10.60480906,
0.00778,9.873948474,
0.0078,7.681366709,
0.00782,3.296203179,
0.00784,-1.088960351,
0.00786,-2.916111822,
0.00788,-7.666705646,
0.0079,-12.05186918,
0.00792,-10.95557829,
0.00794,-13.14816006,
0.00796,-10.22471771,
0.00798,-4.377832998,
0.008,1.103621414,
0.00802,4.027063768,
0.00804,6.950506121,
0.00806,11.33566965,
0.00808,10.23937877,
0.0081,10.23937877,
0.00812,7.315936415,
0.00814,5.12335465,
0.00816,1.469051708,
0.00818,-1.088960351,
0.0082,-6.204984469,
0.00822,-9.493857117,
0.00824,-11.68643888,
0.00826,-13.87902065,
0.00828,-10.590148,
0.0083,-7.301275352,
0.00832,-2.185251233,
0.00834,4.392494062,
