1215,-22.82,388778.086
1220,-22.96,388783.109
1225,-23.11,388788.132
1230,-23.26,388793.156
1235,-23.4,388798.179
1240,-23.62,388803.202
1245,-23.77,388808.225
1250,-23.84,388813.249
1255,-24.06,388818.272
1260,-24.28,388823.295
1265,-24.43,388828.318
1270,-24.57,388833.341
1275,-24.72,388838.365
1280,-24.87,388843.388
1285,-25.09,388848.411
1290,-25.16,388853.434
1295,-25.23,388858.457
1300,-25.53,388863.481
1305,-25.68,388868.504
1310,-25.75,388873.527
1315,-25.9,388878.55
1320,-26.12,388883.573
1325,-26.2,388888.597
1330,-26.42,388893.62
1335,-26.57,388898.643
1340,-26.64,388903.666
1345,-26.8,388908.689
1350,-27.02,388913.713
1355,-27.1,388918.736
1360,-27.25,388923.759
1365,-27.48,388928.782
1370,-27.63,388933.806
1375,-27.79,388938.829
1380,-27.94,388943.852
1385,-28.02,388948.875
1390,-28.25,388953.898
1395,-28.33,388958.922
1400,-28.41,388963.945
1405,-28.57,388968.968
1410,-28.73,388973.991
1415,-28.81,388979.014
1420,-28.97,388984.038
1425,-29.05,388989.061
1430,-29.05,388994.084
1435,-29.21,388999.107
1440,-29.29,389004.13
1445,-29.37,389009.154
1450,-29.54,389014.177
1455,-29.62,389019.2
1460,-29.7,389024.223
1465,-29.87,389029.247
1470,-30.04,389034.27
1475,-30.12,389040.307
1480,-30.04,389045.33
1485,-29.62,389050.353
1490,-29.21,389055.377
1495,-28.89,389060.4
1500,-28.33,389065.423
1505,-27.86,389070.446
1510,-27.63,389075.469
1515,-26.8,389080.493
1520,-26.2,389085.516
1525,-25.53,389090.539
1530,-25.09,389095.562
1535,-24.28,389100.585
1540,-23.55,389105.609
1545,-23.11,389110.632
1550,-22.01,389115.655
1555,-21.19,389120.678
1560,-20.74,389125.701
1565,-19.68,389130.725
1570,-18.75,389135.748
1575,-18.2,389140.771
1580,-17.24,389145.794
1585,-16.18,389150.818
1590,-15.76,389155.841
1595,-14.58,389160.864
1600,-13.35,389165.887
1605,-12.73,389170.91
1610,-11.54,389175.934
1615,-10.13,389180.957
1620,-9.36,389185.98
1625,-8.18,389191.003
1630,-6.97,389196.026
1635,-6.25,389201.05
