1,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
2,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
3,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
5,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
6,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
8,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
9,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
11,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
12,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
14,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
15,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
16,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
18,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
19,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
21,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
22,1.2,1.1,1.1,1.1,1.1,0.5,1.9 
24,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
25,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
26,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
28,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
29,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
31,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
32,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
33,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
35,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
36,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
38,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
39,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
41,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
42,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
44,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
45,1.1,1.1,1.1,1.1,1.1,0.5,1.9 
