1,4.2,5.8,8.3,1.6,1.6,0.5,11.0 
2,4.2,5.8,8.3,1.6,1.6,0.5,10.9 
3,3.5,5.2,7.3,1.6,1.5,0.5,9.7 
5,3.8,5.4,7.6,1.6,1.5,0.5,10.1 
6,4.1,5.9,8.2,1.8,1.7,0.5,10.9 
8,4.0,5.7,7.8,1.6,1.6,0.5,10.5 
9,3.9,6.1,8.0,1.6,1.6,0.5,10.8 
11,3.9,6.0,7.7,1.6,1.5,0.5,10.5 
12,3.7,5.7,7.5,1.5,1.5,0.5,10.1 
13,3.9,6.0,8.3,1.5,1.5,0.5,10.9 
15,3.8,5.9,7.5,1.6,1.5,0.5,10.3 
16,4.3,6.2,8.4,1.6,1.6,0.5,11.3 
18,4.2,6.3,8.5,1.6,1.6,0.5,11.3 
19,4.3,6.5,8.6,1.6,1.6,0.5,11.6 
21,4.0,6.2,8.5,1.6,1.6,0.5,11.2 
22,4.4,6.1,9.0,1.6,1.6,0.5,11.7 
23,4.4,6.2,9.2,1.6,1.6,0.5,11.9 
25,4.0,6.0,8.7,1.6,1.6,0.5,11.3 
26,3.9,5.7,8.0,1.6,1.6,0.5,10.6 
28,4.1,5.9,8.2,1.6,1.5,0.5,10.9 
29,4.3,6.0,8.7,1.6,1.5,0.5,11.4 
30,4.1,5.8,8.3,1.6,1.5,0.5,10.9 
32,4.2,6.0,8.4,1.6,1.6,0.5,11.2 
33,3.9,6.2,8.4,1.5,1.5,0.5,11.1 
35,4.3,6.0,8.0,1.7,1.6,0.5,10.9 
36,4.2,6.2,7.5,1.7,1.6,0.5,10.6 
38,4.0,5.8,8.1,1.5,1.5,0.5,10.7 
39,4.0,6.0,8.7,1.6,1.6,0.5,11.3 
40,4.4,6.4,8.2,1.8,1.6,0.5,11.3 
42,4.2,6.0,7.7,1.8,1.7,0.5,10.6 
43,4.3,6.3,7.9,1.8,1.7,0.4,11.0 
45,3.7,5.9,8.3,1.6,1.5,0.4,10.8 
46,3.9,6.1,8.3,1.6,1.5,0.5,11.0 
47,3.5,5.3,6.4,1.7,1.6,0.4,9.0 
49,4.2,6.1,7.4,1.9,1.7,0.4,10.5 
50,3.8,5.6,6.9,1.8,1.6,0.4,9.7 
52,3.9,5.9,7.0,1.8,1.6,0.5,10.0 
53,3.9,5.7,7.1,1.8,1.6,0.4,9.9 
55,3.7,5.6,6.9,1.8,1.6,0.4,9.6 
56,4.2,6.0,8.0,1.9,1.7,0.4,10.9 
58,3.9,5.9,7.3,1.9,1.7,0.4,10.1 
59,3.9,5.8,7.1,1.9,1.7,0.4,10.0 
60,3.9,5.7,7.3,1.9,1.7,0.4,10.0 
62,4.0,6.0,7.4,1.9,1.7,0.5,10.3 
63,4.1,5.5,7.3,1.9,1.7,0.4,10.1 
65,4.0,5.6,7.1,1.9,1.7,0.5,9.9 
